# SNAPLOG logfile.
# simt, id, type, lat, lon, alt, hdg, trk, tas, gs, gsnorth, gseast, cas, M, vs, p, rho, Temp, dtemp, aspd, aptas, ama, apalt, avs
25.0,MS842,B737,-1.43418448,-0.46936051,9144.00000000,41.32872080,41.32872080,192.89687037,192.89687037,144.85266383,127.38488286,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
25.0,MS841,B737,-1.63787395,0.02009622,9144.00000000,0.00000000,0.00000000,192.89687037,192.89687037,192.89687037,0.00000000,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
25.0,MS843,B737,-0.94706131,-0.66938115,9144.00000000,87.75644049,87.75644049,192.89687037,192.89687037,7.55142915,192.74900393,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
25.0,MS844,B737,-0.45931584,-0.46563138,9144.00000000,131.12476085,131.12476085,192.89687037,192.89687037,-126.86843427,145.30520632,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
25.0,MS845,B737,-0.25945081,0.01972491,9144.00000000,180.00000000,180.00000000,192.89687037,192.89687037,-192.89687037,0.00000000,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
25.0,MS846,B737,-0.45905451,0.50505116,9144.00000000,229.07919911,229.07919911,192.89687037,192.89687037,-126.35037801,-145.75590751,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
25.0,MS847,B737,-0.94309209,0.70936958,9144.00000000,277.75047831,277.75047831,192.89687037,192.89687037,26.01391801,-191.13471340,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
25.0,MS848,B737,-1.43400314,0.50911103,9144.00000000,318.67127920,318.67127920,192.89687037,192.89687037,144.85266383,-127.38488286,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
30.0,MS842,B737,-1.42767103,-0.46363072,9144.00000000,41.32872080,41.32872080,192.89687037,192.89687037,144.85266383,127.38488286,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
30.0,MS841,B737,-1.62920014,0.02009622,9144.00000000,0.00000000,0.00000000,192.89687037,192.89687037,192.89687037,0.00000000,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
